doc_id,company,product,report_type,audit_period,auditor,opinion,hq,signing_authority,extraction_method,page_count,score_overall,score_infrastructure,score_app_architecture,score_data_layer,score_security,score_devops,score_bcdr,score_vendor_diversity,cloud_provider,regions,availability_zones,additional_cloud,serverless,cdn,has_vpc,has_waf,has_firewall,has_ids_ips,has_vpn,has_tls,multi_region,topology,arch_pattern,languages,frameworks,compute,branch_protection,databases,caching,backup_frequency,multi_az,per_tenant_segregation,identity_provider,has_mfa,has_rbac,quarterly_reviews,has_vuln_scanning,has_pen_testing,has_server_hardening,has_cyber_insurance,has_bcdr_policy,annual_dr_testing,daily_backups,controls_tested,exceptions,vendor_count,red_flag_count,yellow_flag_count,green_flag_count,system_overview,has_report,has_diagram,cloud,type
1-Ddh4EaC4SzdqVrqo8wXBNrfEoMEWXU0oWutqh7p4w0,KRC Focus Inc.,Tier One AI Labs Platform,SOC 2 Type 2,"April 6, 2025 - July 6, 2025",Accorp Partners,Unqualified,"447 Broadway #828, New York, NY 10023","Cody Chang, President and Co-Founder (signed July 19, 2025)",subagent,0,5.0,5.0,4.0,5.0,6.0,6.0,6.0,2.0,Supabase (carve-out subservice organization — sole named cloud/data center provider),"[""Not explicitly named \u2014 Supabase manages regions""]",Multi-AZ (disaster recovery spins up multiple servers across all availability zones in Supabase; daily backups with multi-AZ per CC7.4.2),[],[],None mentioned,True,False,True,True,True,True,False,"Network diagram (real, not a placeholder) shows: VPC Network containing Kubernetes Engine (with App, Database, AI Model components), Cloud Storage, Artifact Registry, and Cloud VPN at bottom. Internet connects to VPC; Cloud VPN provides internal connectivity. GCP services visible (Kubernetes Engine, Cloud Storage, Artifact Registry) hosted via Supabase.",Not specified,[],[],"[""Kubernetes Engine (Google Cloud-based, visible in network diagram)""]",True,"[""Supabase (PostgreSQL-based)"", ""Database component in Kubernetes Engine (per network diagram)""]",[],Daily,True,True,Supabase (password policy managed through Supabase; also references Active Directory for infrastructure accounts),True,True,True,True,True,True,True,True,True,True,90,0,1,3,7,16,"Tier One AI Labs (dba of KRC Focus Inc.) is an AI assurance platform for advisory firms. It provides AI-powered workflow automation, custom LLM solutions, data and systems integration, AI strategy and enablement, and ongoing support and optimization for enterprise clients in accounting, insurance, education, and nonprofit sectors.",True,False,Supabase,Type 2
1-bLx1EbebmoH-fiROE4FmuZHQ6nuefx9C9zB5caBGyg,"Valence Vibrations, Inc.",Valence AI,SOC 2 Type 1,"As of September 17, 2025",Accorp Partners,Unqualified,"7190 W Sunset Blvd #14, Los Angeles, CA 90046","Shannon Brownlee, CTO",subagent,0,5.0,6.0,5.0,4.0,7.0,5.0,6.0,3.0,AWS (carve-out),"[""Not specified""]",Multi-AZ,[],[],None mentioned,True,False,True,True,True,True,False,"Users connect via API link through internet gateway; traffic flows through API gateway into segmented VPCs across two availability zones (Dev/QA/Staging in AZ-A, Prod servers in AZ-B), each VPC has its own database.",Hybrid (API-driven with separate Dev/QA/Staging/Prod environments),"[""Not disclosed""]","[""Not disclosed""]","[""EC2 (implied - 'virtual servers', 'Prod Server' nodes in network diagram)""]",True,"[""Databases in each VPC (specific engine not named)""]",[],Not specified (backup policy documented),True,True,AWS IAM / AWS Active Directory (passwords controlled via AWS password policy),True,True,True,True,True,True,False,True,True,False,28,0,1,5,5,10,"Valence AI is an AI-driven voice intelligence platform that enables enterprises to improve customer experience by analyzing vocal tone in real time to detect emotion signals, automate call quality review, and provide actionable insights. The platform delivers emotionally intelligent voice agents that combine natural language understanding with emotion awareness for customer support and sales calls.",True,False,AWS,Type 1
1-uAmey1-oQkzWsdM1yP7HhSKXITcCbbPIzf1gh3KSEw,Lilee AI Inc.,Lilee,SOC 2 Type 1,"As of July 22, 2025",Accorp Partners,Unqualified,"100-7405 Rte Transcanadienne, Montreal QC H4T1Z2, Canada","Olivier Trudeau, CEO",subagent,0,6.0,5.0,6.0,5.0,7.0,5.0,5.0,6.0,Supabase — carve-out method (subservice organization with its own SOC 2 report),"[""Not specifically named; multi-AZ described via Supabase""]",Multi-AZ (high availability via Supabase multi-AZ failover),"[""Vercel (Next.js 14 on Edge \u2014 CDN/frontend hosting)"", ""Mastra Cloud (AI Workflows, Agents & Async Jobs/Queues)""]","[""Vercel Edge (Next.js 14 API routes / Step Functions API Routes)""]",Vercel (Edge network for static assets and frontend),True,False,True,True,True,True,False,"Internet -> Clerk (Auth-as-a-Service, OIDC/OAuth) -> Vercel (Next.js 14 on Edge) -> Step Functions API Routes (apps/web/src/app/api) -> AcuityNXT (EHR Authorization API via HTTP) + Mastra Cloud (AI Workflows, Mastra Agents & Workflows, Async Jobs/Queues) + Supabase (Postgres DB, Auth & RLS JWT, Object Storage, Audit Logs/Monitoring)",Serverless-heavy (Vercel Edge + Supabase managed services + Mastra Cloud AI workers),"[""Not disclosed""]","[""Next.js 14""]","[""Vercel Edge (serverless)"", ""Supabase (managed Postgres, Auth, Object Storage)"", ""Mastra Cloud (AI agent workers)""]",True,"[""Supabase Postgres (managed, with Row-Level Security via JWT)""]","[""Not mentioned""]",Not specified (backup policy exists; backup and restoration logs maintained for defined retention periods),True,True,"Clerk (Auth-as-a-Service, OIDC/OAuth) for user-facing auth; Supabase Auth with JWT/RLS for data access; Supabase password policy for server/database accounts",True,True,True,True,True,True,False,True,True,False,29,0,5,6,7,16,"Lilee is an AI-powered platform that automates and streamlines business workflows. The system integrates with EHR systems (via AcuityNXT), uses AI agents and workflows (via Mastra Cloud), and provides document and data automation services. Infrastructure is hosted on Supabase (carve-out subservice organization) with a Next.js 14 frontend on Vercel.",True,True,Supabase,Type 1
1032lMPZ_V-I4XFUhbGbfxxtYrkaJchMp12-EtSP7r9A,Claim Health Inc.,Claim Health RCM Platform,SOC 2 Type 2,"April 7, 2025 - July 7, 2025",Accorp Partners,Unqualified,Not disclosed (no physical office; fully cloud-based),Not completed (signature placeholders left blank in report),subagent,0,4.0,4.0,3.0,4.0,6.0,5.0,6.0,2.0,Supabase (carve-out subservice organization — Supabase is the sole named cloud/data center provider),"[""Not explicitly named \u2014 Supabase manages regions""]",Multi-AZ (daily backups with multi-availability zones configured per CC7.4.2 test evidence),[],[],None mentioned,True,False,True,True,True,True,False,"Internet traffic flows through VPC VPN connection to VPC WEST and VPC EAST gateways, each with Internet Gateways and multiple availability zones containing private VPC subnets (Prod HA, Dev, Test, Data in West; Prod HR in East). VPN connects to controllers (main and backup) via IP Sec VPN tunnel. Diagram shown is a sample placeholder — actual diagram not customized.",Not specified,[],[],[],True,"[""Supabase (PostgreSQL-based)""]",[],Daily,True,True,Supabase (password policy managed through Supabase),True,True,True,True,True,True,True,True,True,True,79,0,1,5,7,10,"Claim Health is an end-to-end Revenue Cycle Management (RCM) platform for post-acute care. It provides AI-automated compliance management, AI-powered security and code scanning, and compliance support services covering frameworks including SOC 2, HIPAA, GDPR, ISO 27001, and PCI DSS.",True,False,Supabase,Type 2
106-oBaOpq4XZguX3lQNl2SS2O7NBDJ5PSvt6vLDZ3eM,"Karbonara, Inc. dba Chicory AI",Chicory AI,SOC 2 Type 2,"March 24, 2025 - June 24, 2025",Accorp Partners,Unqualified,"400 6th Ln NE, Issaquah, WA 98029","Eugene Cheng, President",subagent,0,6.0,6.0,5.0,5.0,7.0,6.0,6.0,3.0,AWS (carve-out — AWS is a subservice organization; AWS controls excluded from scope),"[""Not explicitly named""]",Multi-AZ (multiple availability zones in AWS; DR procedure spins up multiple servers across all AZs),[],[],None mentioned,True,False,True,True,True,True,False,Internet traffic -> Load Balancer -> WebApp -> Backend API -> Workers; DocumentDB in Security Group within VPC. Bastion host for remote access.,Hybrid (WebApp + Backend API + Workers architecture visible in network diagram),"[""Not disclosed""]","[""Not disclosed""]","[""Virtual servers on AWS (EC2 implied)"", ""Workers""]",True,"[""DocumentDB (Amazon DocumentDB visible in network diagram)""]",[],Daily (backups taken daily; multi-AZ configured; alerts for backup failures),True,True,AWS IAM (password policy via AWS; Active Directory mentioned for infrastructure accounts),True,True,True,True,True,True,True,True,True,True,58,0,1,5,5,11,"Chicory AI is an AI agent platform for enterprise data teams. The platform leverages AI to automate data cataloging, data mapping, data debugging, and managing data and ML pipelines. It helps companies manage data pipelines, data engineering, and data operations.",True,False,AWS,Type 2
10B079VqljHxdtsXFKpFkxQLok0q7r117CCy8t64kt5Y,Salv AI Inc.,Tenzo,SOC 2 Type 2,"April 2, 2025 - July 2, 2025",Accorp Partners,Unqualified,Not disclosed (no physical offices; all data processed on cloud services),Not completed (signature field left blank in report),subagent,0,5.0,6.0,4.0,5.0,7.0,5.0,6.0,3.0,AWS (carve-out - AWS controls excluded from scope),"[""Not specified by name; multi-availability zone deployment mentioned""]",Multi-AZ (report states 'multiple availability zones' and 'spinning up multiple servers across all availability zones in AWS'),[],[],None mentioned,True,False,True,True,True,True,False,"Internet traffic flows through VPC internet gateways into segmented private VPC subnets (WEST and EAST with multiple AZs). Remote admin access via VPC VPN gateway and IPSec VPN tunnel to bastion host. Production HA, Dev, Test, and Demo environments within private subnets.",Not specified (likely SaaS platform; no explicit architecture pattern disclosed),[],[],"[""EC2 (inferred from 'virtual servers' in VPC description and 'Prod HA' servers in network diagram)""]",True,"[""Production database mentioned (access controls tested); specific DB technology not named""]",[],"Daily (CC7.4.2: 'Backups are taken daily, multi-availability zones are configured')",True,True,AWS IAM (passwords controlled through 'Password policy of AWS'),True,True,True,True,True,True,True,True,True,True,57,0,1,6,6,11,"Salv AI Inc. operates the Tenzo platform, an AI-automated compliance management platform that helps companies achieve and maintain compliance with frameworks such as SOC 2, HIPAA, GDPR, ISO 27001, and PCI DSS. The platform leverages AI to automate evidence gathering, perform continuous compliance monitoring, conduct code scanning, infrastructure monitoring, automated security questionnaire completion, and access control management.",True,False,AWS,Type 2
10qUJs2QotJ3J9d4QsbZd9Z5AKLCQUlYcopnWs1DrCx4,"Explore Interfaces, Inc. (dba Context)",Context,SOC 2 Type 2,"April 2, 2025 - July 2, 2025",Accorp Partners,Unqualified,Not disclosed (operates from co-working space managed by building management),"Derek Hsieh, CPO",subagent,0,6.0,5.0,6.0,7.0,7.0,6.0,7.0,5.0,Vercel (carve-out — Vercel is the sole subservice organization; has SOC 2 report; controls excluded from scope),"[""Not explicitly named""]",Multi-AZ within Vercel. DR procedure spins up multiple servers across all availability zones in Vercel on AZ failure.,[],[],None explicitly named (Vercel includes CDN functionality natively),True,False,True,True,True,True,False,"Vercel Cloud VPC [Next.js Frontend + Next.js Backend + Monitoring & Logging + Firewall/Security Groups] -> Supabase [PostgreSQL Database + Storage service] + Trigger.dev [Long Running Tasks]; WorkOS [Authentication, SSO, Directory Sync, MFA] on auth path.",Full-stack Next.js (frontend and backend both Next.js on Vercel; monolithic deployment pattern with Vercel as sole compute),"[""JavaScript/TypeScript (implied by Next.js stack)""]","[""Next.js (both frontend and backend)""]","[""Vercel (both frontend and backend Next.js apps)""]",True,"[""PostgreSQL via Supabase (visible in network diagram as primary database)""]",[],Daily (backups taken daily; multi-AZ configured; alerts in place for backup failure — confirmed tested in CC7.4.2),True,True,"WorkOS (Authentication, SSO, Directory Sync, MFA — visible in network diagram and confirmed in system description). Password policy via Vercel for infrastructure accounts.",True,True,True,True,True,True,True,True,True,True,55,0,9,5,5,12,"Context is an AI-powered collaborative office suite for enterprises, offering tools for creating presentations, documents, and spreadsheets. The platform's core technology is the Context Engine, a proprietary AI system for understanding and processing enterprise content with integrations to major workplace apps.",True,False,Vercel,Type 2
110E8JHqYAOoUwiq9FbRGqZQ66isfgab75WETUimcLF8,"Toffu AI, Inc.",Toffu AI Platform,SOC 2 Type 1,"As of July 8, 2025",ACCORP PARTNERS,Unqualified,"651 N Broad St, Middletown, DE 19709","Or Arbel, CEO — signed Jul 20, 2025",subagent,0,7.0,5.0,9.0,8.0,7.0,6.0,5.0,9.0,AWS (carve-out — physical security delegated to AWS as subservice organization),"[""Not explicitly named \u2014 single region implied from architecture""]",Multi-AZ — 'continuity of operations in the event of an availability zone failure by spinning up multiple servers across all availability zones in AWS',[],[],Not mentioned,True,False,True,True,True,True,False,"Web Users + API Clients + Slack/WhatsApp → Web Interface / API Gateway / Platform Handlers → Authorization (JWT tokens, Role-Based Access) → Rate Limiting/Track Limiter → Supervisor Manager → [Task Classifier / MongoDB (Primary Database) / Redis (Session/Stream Data) / Image Events / Sentry (Error Tracking) / Usage Recording / Audit Logging] → [Claude 3.7 / GPT-4 / GPT-4 Mini AI models] → [Google Workspace / Social Media APIs (LinkedIn/Twitter/Meta) / Marketing Tools (Google Analytics) / Communication (Email/Slack) / Vector DB / Credit Management] → Real-time WebSocket to Web Interface; File Uploads → File Processing → Temporary Storage → Google Drive / Content Generation (HTML/Markdown)","Microservices with Supervisor Manager orchestration — Task Classifier routes workflows to AI models (Claude 3.7, GPT-4, GPT-4 Mini), real-time streaming via Redis Streams and WebSocket",[],[],"[""AWS EC2 or equivalent (implied \u2014 servers in AWS VPC)"", ""Redis Streams (real-time event processing)"", ""WebSocket (real-time UI updates)""]",True,"[""MongoDB (explicitly shown as 'Primary Database' in network diagram \u2014 user data encrypted, company data encrypted, integration tokens encrypted)"", ""Redis (explicitly shown \u2014 session/stream data, real-time processing via Redis Streams)""]","[""Redis (explicitly shown for session caching and real-time stream processing)""]",Backup policy established; formal backup and recovery procedures; frequency not explicitly stated,True,True,"JWT tokens with Role-Based Access (explicitly shown in network diagram — 'Authorization: JWT Tokens, Role-Based Access' layer); Active Directory for server accounts; password policy via AWS",True,True,True,True,True,True,False,True,True,True,0,0,11,5,6,18,"Toffu AI is an AI-powered marketing automation platform designed to help B2B SaaS companies grow. The platform acts as an autonomous marketing agent that automates tasks including blog creation, social media content, email campaigns, and performance tracking, generating human-quality content and driving lead generation with minimal supervision.",True,False,AWS,Type 1
11Y-bVzIxoIcKRcKgnR4pXcIk9-PblzcBPtqcljAc5b0,"Conway Enterprises, Inc.",Conway,SOC 2 Type 1,"As of August 21, 2025",Accorp Partners,Unqualified,"832 Sansome Street, San Francisco, California 94111","Anne Matheson Brandes, Founder",subagent,0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,7.0,Vercel (carve-out; subservice organization for data center services),"[""Not explicitly named; hosted in high availability data centers with multiple availability zones""]",Multi-AZ,"[""AWS (ECS for autoscaling investigation service per network diagram)""]","[""Vercel serverless functions (implied)"", ""Query Functions (per diagram)""]",Vercel Edge Network (implied via Vercel hosting),True,True,True,True,True,True,False,"Users -> TLS -> Vercel VPC -> API Gateway -> Query Functions / Feature Engineering -> Data Warehouse (e.g. Snowflake, Databricks) + Associated Compute Layer (e.g. Snowpark, Databricks Connect + UDFs) -> Client Data + Blob Storage (transformed data) -> Investigation Queue (via Kafka) -> Autoscaling Investigation Service (via AWS ECS). External: Cerebras (External API service) for SLM inference / unstructured analysis services.",Hybrid (microservices with serverless and container components),"[""Not explicitly named""]","[""Not explicitly named""]","[""Vercel (primary hosting)"", ""AWS ECS (autoscaling investigation service)"", ""Snowpark / Databricks Connect + UDFs (associated compute layer)""]",True,"[""Data Warehouse (e.g. Snowflake, Databricks per diagram)"", ""Client Data store"", ""Active Directory (mentioned in CC6.1.2)""]","[""Not explicitly mentioned""]",Defined in Backup Policy; suitable backups taken and maintained (specific frequency not disclosed),True,True,Vercel password policy / Active Directory (referenced in CC6.1.2),True,True,True,True,True,True,False,True,True,False,58,0,5,5,7,12,"Conway automates data analysis end-to-end from pre-processing to root cause. The platform ingests data of any modality and scale, detects statistically anomalous signals, and performs autonomous data analysis outputting evidence-backed answers via natural language or statistical inputs.",False,False,Vercel,Type 1
11av_HDxK-0pqtJe_RF-yFQkpgI29WjZn3P-aws08JdA,"Loggia AI, Inc.",Shiplight AI,SOC 2 Type 1,"As of October 23, 2025",Accorp Partners,Unqualified,"1825 South Grant Street, Suite 200, San Mateo, CA 94402","Ziwei Zhao, Cofounder and CEO",subagent,0,5.0,6.0,5.0,4.0,7.0,6.0,6.0,3.0,AWS (carve-out),"[""Not specified \u2014 single region implied""]","Multi-AZ (DR plan spins up multiple servers across all availability zones in AWS; network diagram shows private subnet shared, prod, and staging)",[],[],None mentioned,True,False,True,True,True,True,False,"Internet -> VPC -> Application Load Balancer -> Private subnets (shared, prod, staging) -> ECS Fargate containers -> NAT Gateway -> Internet (outbound)","Microservices (ECS Fargate containers, multiple environments visible in network diagram)","[""Not disclosed""]","[""Not disclosed""]","[""ECS Fargate"", ""AWS Fargate""]",True,"[""Not specifically named \u2014 uses cloud database services on AWS""]","[""Intelligent caching mentioned for test execution infrastructure""]",Not specifically disclosed — backup policy exists,True,True,AWS (password policy via AWS; Active Directory mentioned),True,True,True,True,True,True,False,True,True,False,29,0,1,6,5,13,"Shiplight is an autonomous AI-driven end-to-end testing and quality assurance platform that helps engineering teams ship software quickly and safely. AI agents navigate web applications like real users to generate, run, and maintain browser-based tests without requiring scripting or direct codebase access. The platform integrates into existing CI/CD pipelines to run tests in parallel at scale.",True,True,AWS,Type 1
